时间,收盘价,信号类型,方向,置信度,张力,加速度,DXY燃料,量能比率,EMA偏离%,V705通过,过滤原因
2025-07-31 04:00:00,118665.97,HIGH_OSCILLATION,做空,0.6,0.35740672008369306,-0.0036241054533908087,0.09550343644956728,0.7803234801127893,0.5425740216392398,True,
2025-07-31 08:00:00,118371.25,HIGH_OSCILLATION,做空,0.6,0.3367750762595735,-0.004170421186985961,0.09550343644956728,0.5334998693286288,0.2648996354279129,True,
2025-07-31 12:00:00,118306.18,HIGH_OSCILLATION,做空,0.6,0.31543561009841997,0.0019338989022701153,0.09550343644956728,1.3978737574050137,0.18976566114248652,True,
2025-08-04 12:00:00,114826.0,LOW_OSCILLATION,做多,0.6,-0.3210664033515293,0.00430215528564747,-0.20795288665383976,1.379951500081796,0.26591096555058874,True,
2025-08-04 16:00:00,114777.62,LOW_OSCILLATION,做多,0.6,-0.3486194749527305,-0.0033290195415448995,-0.20795288665383976,0.9141458324460953,0.20232102928592785,True,
2025-08-04 20:00:00,115055.03,LOW_OSCILLATION,做多,0.6,-0.37590445325171895,0.002838267738103734,-0.20795288665383976,0.5578370562391662,0.4019996386130775,True,
2025-08-05 00:00:00,114256.85,LOW_OSCILLATION,做多,0.6,-0.40288116372820976,-0.009354310557519853,-0.1398384676452419,0.8410533024649831,-0.26655137923672984,True,
2025-08-05 04:00:00,113969.7,LOW_OSCILLATION,做多,0.6,-0.4295098466929164,0.004424178727583294,-0.1398384676452419,1.3244398325091187,-0.46817455912563766,True,
2025-08-05 16:00:00,113616.52,BULLISH_SINGULARITY,做多,0.6,-0.506917736613323,0.022529799158437218,-0.1398384676452419,0.8085663585515835,-0.6072791718176185,True,
2025-08-05 20:00:00,114129.75,LOW_OSCILLATION,做多,0.6,-0.5317673039813599,-0.0015263170355221877,-0.1398384676452419,0.5222108181318144,-0.14324640073806147,True,
2025-08-06 00:00:00,113509.97,LOW_OSCILLATION,做多,0.6,-0.55607855268506,-0.009947698730019175,0.2622599159323994,0.6612511622576,-0.6206349485028134,True,
