信号时间,信号类型,方向,开仓价,张力,DXY燃料,首次开仓盈亏%,最优开仓盈亏%,最优开仓周期,价格优势%,最优平仓盈亏%,最优平仓周期,是好机会,好机会类型,好机会盈亏%,好机会平仓周期,张力变化%
2025-12-24 20:00:00,LOW_OSCILLATION,long,87669.45,-0.5820695437752951,-0.0092689997151086,0.19501662209583973,2.799264738172768,25,2.799264738172768,2.799264738172768,25,True,1,2.799264738172768,1,0.0
2025-12-25 00:00:00,LOW_OSCILLATION,long,87840.42,-0.5940204124486171,-0.0092689997151086,-0.003221751444268762,2.59917928443421,24,2.59917928443421,2.59917928443421,24,True,2,2.59917928443421,24,0.0
2025-12-25 04:00:00,LOW_OSCILLATION,long,87837.59,-0.6061427357911144,-0.0092689997151086,-0.362202560429987,2.6024848814727344,23,2.6024848814727344,2.6024848814727344,23,True,2,2.6024848814727344,23,0.0
2025-12-25 08:00:00,LOW_OSCILLATION,long,87519.44,-0.6184314790590428,-0.0092689997151086,0.9733037597132725,2.9754646510535268,22,2.9754646510535268,2.9754646510535268,22,True,1,2.9754646510535268,1,0.0
2025-12-25 12:00:00,LOW_OSCILLATION,long,88371.27,-0.6308811752368003,-0.0092689997151086,-0.24905152998255095,1.9828616245981288,21,1.9828616245981288,1.9828616245981288,21,True,2,1.9828616245981288,21,0.0
2025-12-25 16:00:00,LOW_OSCILLATION,long,88151.18,-0.6434859200535133,-0.0092689997151086,-1.0503659735467967,2.237485646817218,20,2.237485646817218,2.237485646817218,20,True,2,2.237485646817218,20,0.0
2025-12-25 20:00:00,LOW_OSCILLATION,long,87225.27,-0.656239367731985,-0.0092689997151086,1.8568013604314335,3.3227526839412462,19,3.3227526839412462,3.3227526839412462,19,True,1,3.3227526839412462,1,0.0
2025-12-26 00:00:00,LOW_OSCILLATION,long,88844.87,-0.6691347274923914,-0.2485974480971609,-0.42109353078010625,1.4392277235590616,18,1.4392277235590616,1.4392277235590616,18,True,2,1.4392277235590616,18,0.0
2025-12-26 04:00:00,LOW_OSCILLATION,long,88470.75,-0.6821647608318682,-0.2485974480971609,0.0708369715414397,1.8681880734593104,17,1.8681880734593104,1.8681880734593104,17,True,1,1.8681880734593104,1,0.0
2025-12-26 08:00:00,LOW_OSCILLATION,long,88533.42,-0.6953217795998022,-0.2485974480971609,-1.576365173738912,1.7960788140794794,16,1.7960788140794794,1.7960788140794794,16,True,2,1.7960788140794794,16,0.0
2025-12-26 12:00:00,LOW_OSCILLATION,long,87137.81,-0.7085976448872833,-0.2485974480971609,0.4177520642302166,3.426457470069543,15,3.426457470069543,3.426457470069543,15,True,1,3.426457470069543,1,0.0
