时间,收盘价,信号类型,方向,置信度,张力,加速度,量能比率,EMA偏离%,DXY燃料,V705通过,过滤原因
2025-09-22 16:00:00,112122.9,LOW_OSCILLATION,做多,0.6,-1.031056184916776,-0.0001926099140348,1.6289635615146874,-2.2276760295588827,0.0737135620795142,True,
2025-09-22 20:00:00,112650.99,LOW_OSCILLATION,做多,0.6,-1.0416276389372257,-0.0001659442295061,0.8169639108698669,-1.6015691028692178,0.0737135620795142,True,
2025-09-23 00:00:00,112339.99,LOW_OSCILLATION,做多,0.6,-1.0523378549787088,-0.0001387620210335,1.4455716549672275,-1.6978484531021836,0.1819661835326962,True,
2025-09-23 04:00:00,113090.13,LOW_OSCILLATION,做多,0.6,-1.0631591794352615,-0.0001111084150697,1.436615502240488,-0.9431951222517441,0.1819661835326962,True,
2025-09-23 08:00:00,112975.99,LOW_OSCILLATION,做多,0.6,-1.074063533234139,-8.302934232440329e-05,1.0089783330540523,-0.944760466944076,0.1819661835326962,True,
2025-09-23 12:00:00,112882.19,LOW_OSCILLATION,做多,0.6,-1.0850224584969723,-5.457146395615453e-05,1.0489449086748215,-0.9301025201720831,0.1819661835326962,True,
2025-09-23 16:00:00,111655.29,LOW_OSCILLATION,做多,0.6,-1.0960071658563777,-2.578209657144725e-05,1.2354167920151988,-1.8192245341390019,0.1819661835326962,True,
2025-09-23 20:00:00,111998.8,LOW_OSCILLATION,做多,0.6,-1.1069885823519925,3.290863790139653e-06,0.6336681073442904,-1.3746631594537329,0.1819661835326962,True,
2025-09-24 00:00:00,111683.09,LOW_OSCILLATION,做多,0.6,-1.117937399828988,3.259901861896175e-05,1.385471877090645,-1.4976347240299426,-0.6118787027623548,True,
2025-09-24 04:00:00,112583.54,LOW_OSCILLATION,做多,0.6,-1.1288241237613152,6.209354466868433e-05,1.340625237435897,-0.6368858972459785,-0.6118787027623548,True,
2025-09-24 08:00:00,113029.46,LOW_OSCILLATION,做多,0.6,-1.1396191224212575,9.172527238465732e-05,0.7126533968600118,-0.22020607234225284,-0.6118787027623548,True,
2025-09-24 12:00:00,113346.41,LOW_OSCILLATION,做多,0.6,-1.1502926763163288,0.0001214447648714,1.1088233476032336,0.05391175605970695,-0.6118787027623548,True,
2025-09-24 16:00:00,113420.01,LOW_OSCILLATION,做多,0.6,-1.1608150278141105,0.0001512023972893,0.5701617640986058,0.10754632352620681,-0.6118787027623548,True,
2025-09-24 20:00:00,113307.0,LOW_OSCILLATION,做多,0.6,-1.1711564308753537,0.0001809484365384,0.5105047385958748,0.007057690315715352,-0.6118787027623548,True,
2025-09-25 00:00:00,112546.21,LOW_OSCILLATION,做多,0.6,-1.1812872008154751,0.0002106331211215,1.2435187607406708,-0.6015325048450009,0.1550379492523906,True,
2025-09-25 04:00:00,111766.72,LOW_OSCILLATION,做多,0.6,-1.1911777640145425,0.0002402067410545,1.1394473566140795,-1.1685439198058856,0.1550379492523906,True,
2025-09-25 08:00:00,111348.0,LOW_OSCILLATION,做多,0.6,-1.200798707495936,0.0002696197176734,0.9035166338853362,-1.3942942303635388,0.1550379492523906,True,
2025-09-25 12:00:00,111580.77,LOW_OSCILLATION,做多,0.6,-1.210120828294075,0.0002988226832547,1.9693185870677123,-1.0762212342274622,0.1550379492523906,True,
2025-10-06 08:00:00,124215.0,LOW_OSCILLATION,做多,0.6,-0.3822259453526659,0.0002717924472804,0.9239220199335617,1.5902444387512076,-0.4259269128290524,True,
2025-10-06 12:00:00,125000.0,LOW_OSCILLATION,做多,0.6,-0.3483483464985826,0.0002393646553177,1.468786744550404,2.015381938609095,-0.4259269128290524,False,趋势不符
2025-10-06 16:00:00,125410.81,LOW_OSCILLATION,做多,0.6,-0.3142642042884851,0.0002065433560142,1.4884326734496307,2.1220310655648333,-0.4259269128290524,False,趋势不符
