时间,收盘价,信号类型,方向,置信度,张力,加速度,DXY燃料,量能比率,EMA偏离%,V705通过,过滤原因
2025-09-03 16:00:00,112193.74,LOW_OSCILLATION,做多,0.6,-1.5740664687778794,-0.007302435720427143,0.5278052750243878,0.7774210970317674,1.5011872398692283,True,
2025-09-03 20:00:00,111705.71,LOW_OSCILLATION,做多,0.6,-1.5917072483116235,-0.004091471538651161,0.5278052750243878,0.38814924551638824,0.9577812051120811,False,量能过低
2025-09-04 00:00:00,111148.97,LOW_OSCILLATION,做多,0.6,-1.608345522728941,-0.0006341025445906895,-0.34859769661808254,0.6046358005979585,0.4111346834653368,True,
2025-09-04 04:00:00,110463.36,LOW_OSCILLATION,做多,0.6,-1.6239679553419568,-0.0011843995125366243,-0.34859769661808254,0.9153657794991216,-0.1884451545465598,True,
2025-09-04 08:00:00,110810.0,LOW_OSCILLATION,做多,0.6,-1.638562898881478,0.009306442347356583,-0.34859769661808254,0.5195106195374984,0.11287273938463643,True,
2025-09-04 20:00:00,110730.87,LOW_OSCILLATION,做多,0.6,-1.6760919475551945,0.00583273030954454,-0.34859769661808254,0.8463131209436908,0.18936734584440132,True,
2025-09-05 00:00:00,111311.77,LOW_OSCILLATION,做多,0.6,-1.6864946961024727,-0.003231907814466874,0.7188476720878467,0.7062758632570026,0.6464338893992367,True,
2025-09-05 04:00:00,112954.32,LOW_OSCILLATION,做多,0.6,-1.695837464714648,0.009510248268257825,0.7188476720878467,1.461637902800368,1.9246858693613669,True,
2025-09-05 12:00:00,110716.82,LOW_OSCILLATION,做多,0.6,-1.7113395519040708,-0.009256907004724082,0.7188476720878467,3.613217884009143,-0.20428924906281315,True,
2025-09-05 16:00:00,111614.54,BULLISH_SINGULARITY,做多,0.6071884767208784,-1.7175014308610992,0.022679874947266802,0.7188476720878467,0.8028808952378277,0.5469569601354157,True,
2025-09-06 04:00:00,110825.6,LOW_OSCILLATION,做多,0.6,-1.7296817283408052,-0.00612574221636843,0.7188476720878467,0.29243294796864916,-0.12961363824273017,False,量能过低
2025-09-06 08:00:00,110781.02,LOW_OSCILLATION,做多,0.6,-1.7316641686059795,0.001907927062253746,0.7188476720878467,0.2739010339112355,-0.15364153038453893,False,量能过低
2025-09-06 12:00:00,110384.15,LOW_OSCILLATION,做多,0.6,-1.7326239981709255,-0.0031802192511575992,0.7188476720878467,0.395919700401346,-0.46286491665247104,False,量能过低
2025-09-06 16:00:00,110038.41,LOW_OSCILLATION,做多,0.6,-1.7325733976605513,0.00045032030402286085,0.7188476720878467,0.6235897639813041,-0.7013735196465156,True,
2025-09-06 20:00:00,110187.97,LOW_OSCILLATION,做多,0.6,-1.731526145019705,0.004491314347123411,0.7188476720878467,0.293819384925858,-0.5127433475738177,False,量能过低
2025-09-07 00:00:00,110629.15,LOW_OSCILLATION,做多,0.6,-1.729497586453998,0.002644723591566438,0.7188476720878467,0.46630166492510866,-0.103523078176142,False,量能过低
2025-09-07 04:00:00,110753.42,LOW_OSCILLATION,做多,0.6,-1.7265046047141648,-0.002880582867566003,0.7188476720878467,0.42979523548545884,0.007863115133946958,False,量能过低
2025-09-07 08:00:00,111292.13,LOW_OSCILLATION,做多,0.6,-1.7225655847823094,0.003740745948966541,0.7188476720878467,0.6020606831739684,0.44701898224463865,True,
2025-09-07 12:00:00,111329.99,LOW_OSCILLATION,做多,0.6,-1.7177003770228758,-0.004523862662492033,0.7188476720878467,0.4307621167242867,0.43516262140318107,False,量能过低
2025-09-07 16:00:00,111259.99,LOW_OSCILLATION,做多,0.6,-1.7119302578655249,-0.000968947176170713,0.7188476720878467,0.4876118254795937,0.33646386283912405,False,量能过低
2025-09-07 20:00:00,111137.34,LOW_OSCILLATION,做多,0.6,-1.7052778880913242,-0.0004736115228643589,0.7188476720878467,0.4768444713210623,0.2043016537533069,False,量能过低
2025-09-08 00:00:00,111052.11,LOW_OSCILLATION,做多,0.6,-1.697767268797778,0.0003354839513113769,-0.48926480080949875,0.9462725283319069,0.11530340963497773,True,
2025-09-08 04:00:00,111280.39,LOW_OSCILLATION,做多,0.6,-1.6894236951221815,0.002822500518479441,-0.48926480080949875,0.7535990928123307,0.290431663269802,True,
2025-09-08 08:00:00,112052.43,LOW_OSCILLATION,做多,0.6,-1.6802737078065972,0.004882178656952,-0.48926480080949875,1.4982310762518352,0.8914620698072074,True,
2025-09-08 12:00:00,112631.75,LOW_OSCILLATION,做多,0.6,-1.670345042691461,-0.0017677104508272172,-0.48926480080949875,1.6816599986792313,1.2767817459385198,True,
2025-09-08 16:00:00,112097.31,LOW_OSCILLATION,做多,0.6,-1.6596665782283053,-0.009915100587574065,-0.48926480080949875,0.9442892785149065,0.719844843521046,True,
2025-09-08 20:00:00,112065.23,LOW_OSCILLATION,做多,0.6,-1.648268281105479,0.004458840904094803,-0.48926480080949875,0.8366734003343053,0.6247981474685553,True,
2025-09-09 00:00:00,111708.0,LOW_OSCILLATION,做多,0.6,-1.6361811500839014,-0.002901517095463548,-0.06936481166327346,1.557152116148345,0.27500126535388647,True,
2025-09-09 12:00:00,110880.76,LOW_OSCILLATION,做多,0.6,-1.5961109963848,-0.008876892675556771,-0.06936481166327346,2.888088006725402,-0.6131979102299717,True,
2025-09-09 20:00:00,111546.39,LOW_OSCILLATION,做多,0.6,-1.5665627691055997,-0.0015948274639802688,-0.06936481166327346,1.0092414602526947,0.005351051911154384,True,
