信号时间,信号类型,交易方向,开仓价,开仓张力,首次开仓盈亏,最优平仓盈亏,最优平仓周期,最差平仓盈亏,盈亏波动,是好机会,好机会数,好机会平均盈亏,最优平仓张力,张力变化%,价格优势
2025-09-26 16:00:00,LOW_OSCILLATION,long,109172.2,-1.2643644221306587,0.43166666971995554,7.572742877765587,30,0.12641496644751074,7.446327911318076,True,14,5.037701251522171,-1.1306221820304834,10.577823747586791,7.572742877765587
2025-09-26 20:00:00,LOW_OSCILLATION,long,109643.46,-1.2702896591657584,-0.08180150462234805,8.164216999354085,30,-0.30393969690485867,8.468156696258944,True,15,4.824769302245655,-1.113397557288914,12.350891841462412,8.164216999354085
2025-09-27 00:00:00,LOW_OSCILLATION,long,109553.77,-1.2756707599549382,-0.13013700943382137,8.379647729147068,30,-0.22232005343129466,8.601967782578363,True,16,5.127403990752666,-1.0953318488581534,14.136791150026445,8.379647729147068
2025-09-27 04:00:00,LOW_OSCILLATION,long,109411.2,-1.2804832275197005,-0.09230316457546457,8.520873548594667,29,-0.09230316457546457,8.61317671317013,True,17,5.442818952183842,-1.0953318488581534,14.459492688567721,8.520873548594667
2025-09-27 08:00:00,LOW_OSCILLATION,long,109310.21,-1.2847032816536366,0.08419158649498416,8.650170921819644,30,0.05380101273247729,8.596369909087166,True,18,5.713010096068178,-1.0567128983769232,17.746540118061358,8.650170921819644
2025-09-27 12:00:00,LOW_OSCILLATION,long,109402.24,-1.288307899809987,0.02007271514732409,9.60541575748357,30,-0.03036500897970751,9.635780766463277,True,19,5.833627307236502,-1.0361806037713732,19.570422262861246,9.60541575748357
2025-09-27 16:00:00,LOW_OSCILLATION,long,109424.2,-1.2912748568190078,0.19342156488236492,10.429402271161232,30,-0.05042760193813893,10.479829873099371,True,20,6.043238607181961,-1.0148490945578703,21.407197762844913,10.429402271161232
2025-09-27 20:00:00,LOW_OSCILLATION,long,109635.85,-1.2935827633711752,-0.1822852652667953,10.216220333038873,29,-0.24337842047104274,10.459598753509916,True,21,6.033645537867919,-1.0148490945578703,21.54741673326751,10.216220333038873
2025-09-28 00:00:00,LOW_OSCILLATION,long,109436.0,-1.2952111032043312,0.07041558536496004,10.417495156986737,28,-0.061204722394820645,10.478699879381558,True,22,6.392385005432814,-1.0148490945578703,21.64604734725095,10.417495156986737
2025-09-28 04:00:00,LOW_OSCILLATION,long,109513.06,-1.296140268934792,-0.13152769176570683,10.33979874181217,27,-0.13152769176570683,10.471326433577877,True,23,6.444908508390811,-1.0148490945578703,21.702217045389347,10.33979874181217
2025-09-28 08:00:00,LOW_OSCILLATION,long,109369.02,-1.296351596474718,0.611608296389589,10.485117266297166,26,0.611608296389589,9.873508969907578,True,24,6.72847377925973,-1.0148490945578703,21.714980926653084,10.485117266297166
2025-09-28 12:00:00,LOW_OSCILLATION,long,110037.93,-1.295827397980198,0.27233336723074747,11.105370666278446,30,0.27233336723074747,10.8330372990477,True,23,6.58641465522488,-0.8967167731825236,30.799674819329088,11.105370666278446
2025-09-28 16:00:00,LOW_OSCILLATION,long,110337.6,-1.2945509932768886,1.6552381055959087,11.16880374414524,30,1.3775086643175027,9.791295079827737,True,24,6.499927268673594,-0.8709141065784808,32.724619493439846,11.16880374414524
2025-09-28 20:00:00,LOW_OSCILLATION,long,112163.95,-1.292506739712427,-0.2732072114079455,9.358657572241356,29,-0.2732072114079455,9.6318647836493,True,16,6.700145746472021,-0.8709141065784808,32.618215455321135,9.358657572241356
2025-09-29 00:00:00,LOW_OSCILLATION,long,111857.51,-1.2896800603873584,0.007545313676303297,9.658251824128762,28,0.007545313676303297,9.650706510452459,True,17,7.127339163590415,-0.8709141065784808,32.47053022461247,9.658251824128762
2025-09-29 04:00:00,LOW_OSCILLATION,long,111865.95,-1.286057470718874,0.2092236288164566,9.649978389313288,27,0.2092236288164566,9.440754760496832,True,18,7.243120498735816,-0.8709141065784808,32.2803120072339,9.649978389313288
2025-09-29 08:00:00,LOW_OSCILLATION,long,112100.0,-1.281626603294304,1.5303925066904611,9.42104371097235,26,0.8519268510258651,8.569116859946485,True,19,7.113333959340815,-0.8709141065784808,32.0461900260282,9.42104371097235
2025-09-29 12:00:00,LOW_OSCILLATION,long,113815.57,-1.2763762309740077,0.3953589126689748,7.771713483489121,25,-0.6682389764423375,8.439952459931458,True,19,5.730082725754892,-0.8709141065784808,31.766662098221392,7.771713483489121
2025-09-29 16:00:00,LOW_OSCILLATION,long,114265.55,-1.2702962882061246,0.040615916170712425,7.3473063403624295,24,-1.0594094195494688,8.406715759911899,True,18,5.67511963725433,-0.8709141065784808,31.440080974466177,7.3473063403624295
2025-09-29 20:00:00,LOW_OSCILLATION,long,114311.96,-1.2633778905184,0.0563633061667327,7.303723949794929,23,-1.0995787317442651,8.403302681539193,True,19,5.707759344645446,-0.8709141065784808,31.06463924098594,7.303723949794929
2025-09-30 00:00:00,LOW_OSCILLATION,long,114376.39,-1.2556133521552677,-0.5920452638870694,8.218330723674704,30,-1.1552908777764401,9.373621601451145,True,20,5.776718429389144,-0.6419004415757185,48.87753937357447,8.218330723674704
2025-09-30 04:00:00,LOW_OSCILLATION,long,113699.23,-1.2469962018312748,-0.5666001432023781,9.687312746093363,30,-0.5666001432023781,10.25391288929574,True,23,6.277677785810713,-0.6108187718401942,51.01678971089271,9.687312746093363
