时间,收盘价,信号类型,方向,置信度,张力,加速度,量能比率,EMA偏离%,DXY燃料,开盘价,最高价,最低价,成交量,价格vsEMA%,V7.0.5通过,过滤原因
2025-10-11 12:00:00,111793.2,BULLISH_SINGULARITY,long,0.6,-0.8447300815358614,0.1081384138945614,0.5845425843928906,-4.888107977496802,0.2334909150241095,112280.01,112500.0,111793.2,3681.24351,-4.888107977496802,True,
2025-10-11 16:00:00,111178.31,BULLISH_SINGULARITY,long,0.6,-0.8108935148762021,0.1000459788748027,0.49949607387108563,-4.921251874566858,0.2334909150241095,111793.21,112185.53,110865.82,3138.91159,-4.921251874566858,True,
2025-10-11 20:00:00,110644.4,BULLISH_SINGULARITY,long,0.6,-0.7804251521884239,0.0921523517443423,0.636878998415674,-4.890720350133526,0.2334909150241095,111178.3,111368.29,109561.59,4022.93209,-4.890720350133526,True,
2025-10-12 00:00:00,110676.0,BULLISH_SINGULARITY,long,0.6,-0.760613996794238,0.0853118960872154,0.7517249172673295,-4.420838396534811,0.2334909150241095,110644.4,111368.14,109565.06,4785.58424,-4.420838396534811,True,
2025-10-12 04:00:00,111525.2,BULLISH_SINGULARITY,long,0.6,-0.738994409383716,0.077694330453327,0.4244549640511518,-3.348044043086487,0.2334909150241095,110676.0,112125.51,110617.1,2731.29761,-3.348044043086487,True,
2025-10-12 08:00:00,111848.36,BULLISH_SINGULARITY,long,0.6,-0.70935152898148,0.0727664847375291,0.4351508726136527,-2.78392698448238,0.2334909150241095,111525.19,112133.33,111139.87,2810.82095,-2.7839269844823793,True,
2025-10-12 16:00:00,114342.28,BULLISH_SINGULARITY,long,0.6,-0.5838088629594316,0.057255151788044,0.9431674584410835,-0.4196159682087397,0.2334909150241095,113198.2,114700.0,113198.2,6635.34892,-0.41961596820873975,True,
2025-10-12 20:00:00,114958.8,BULLISH_SINGULARITY,long,0.6,-0.4743549610162679,0.0448121781438318,0.8933645906755225,0.1061254376625061,0.2334909150241095,114342.28,115770.0,114217.75,6271.83436,0.1061254376625061,True,
2025-10-14 04:00:00,111724.41,BEARISH_SINGULARITY,short,0.7,0.3837534893151854,-0.0518228549553347,1.2572069854416188,-2.4033028540879244,,113500.0,113691.0,111355.01,6286.29915,-2.4033028540879244,True,
2025-10-14 08:00:00,111313.98,BEARISH_SINGULARITY,short,0.7,0.3614174731652726,-0.0477651310035879,1.1267612355125112,-2.5053916125309343,,111724.41,112140.0,110012.24,5281.83478,-2.5053916125309343,True,
