信号索引,信号类型,方向,普通信号时间,普通信号价格,普通信号张力,普通信号加速度,普通信号量能比率,信号前5周期平均张力,信号前5周期平均加速度,信号前5周期平均量能比率,开仓等待周期,开仓时间,开仓价格,开仓张力,开仓加速度,开仓量能比率,价格优势%,方向是否改变,持仓周期,平仓时间,平仓价格,平仓张力,平仓加速度,平仓量能比率,最优盈亏%
439,BULLISH_SINGULARITY,long,2025-12-13 20:00:00,90240.01,-0.732425029003736,0.0786290913985818,0.259170958980144,-0.3536536132502695,-0.00020827651720036616,0.3493013262053391,3,2025-12-14 08:00:00,89360.0,-0.6373052628355023,0.1006380725575286,0.9718235196444882,0.97518827845874,True,5,2025-12-15 04:00:00,89753.42,-0.270117687299146,-0.0128985823754855,0.7314607117998536,0.44026410026857465
440,BULLISH_SINGULARITY,long,2025-12-14 00:00:00,90258.98,-0.7934944560301969,0.101587988011282,0.294205544478415,-0.4881613176544179,0.0283118953249523,0.3620098453002487,10,2025-12-15 16:00:00,86149.96,-0.4670320335030324,0.0115695548129907,2.635830950172896,4.552477770078933,False,17,2025-12-18 12:00:00,88513.44,-0.032437356387665,-0.0857903801645456,2.199055238532857,2.7434487491346435
441,BULLISH_SINGULARITY,long,2025-12-14 04:00:00,90245.6,-0.7416206130991853,0.1089828011840086,0.3139308689376386,-0.5951424142011436,0.0543551713816153,0.38781011705947455,9,2025-12-15 16:00:00,86149.96,-0.4670320335030324,0.0115695548129907,2.635830950172896,4.538326522290283,False,17,2025-12-18 12:00:00,88513.44,-0.032437356387665,-0.0857903801645456,2.199055238532857,2.7434487491346435
442,BULLISH_SINGULARITY,long,2025-12-14 08:00:00,89360.0,-0.6373052628355023,0.1006380725575286,0.9718235196444882,-0.6579073644081957,0.07474091644038035,0.4594061980416893,7,2025-12-15 12:00:00,87033.22,-0.3389317593807637,-0.0138799471721226,2.9616406730472993,2.6038272157564895,True,18,2025-12-18 12:00:00,88513.44,-0.032437356387665,-0.0857903801645456,2.199055238532857,1.7007528849329039
443,BULLISH_SINGULARITY,long,2025-12-14 12:00:00,89022.91,-0.4924073691728695,0.0800108613786347,0.8358568763583734,-0.6670246021684435,0.08613227030397665,0.48684803018848416,2,2025-12-14 20:00:00,88172.17,-0.2462738501139153,0.0250805463472758,1.2638261103754633,0.9556416432579043,True,2,2025-12-15 04:00:00,89753.42,-0.270117687299146,-0.0128985823754855,0.7314607117998536,1.7933663195541178
444,BULLISH_SINGULARITY,long,2025-12-15 20:00:00,86432.08,-0.587761986748275,0.0456861943707347,1.2512108078712327,-0.3606072794573704,0.0019830244560968165,1.63399173707461,1,2025-12-16 00:00:00,85875.92,-0.6931800655666246,0.0839928593193397,1.1794489364777692,0.6434647876112706,True,15,2025-12-18 12:00:00,88513.44,-0.032437356387665,-0.0857903801645456,2.199055238532857,3.0713149856211195
445,BULLISH_SINGULARITY,long,2025-12-16 00:00:00,85875.92,-0.6931800655666246,0.0839928593193397,1.1794489364777692,-0.43924863713718604,0.015519151827165033,1.6036009527111144,0,2025-12-16 00:00:00,85875.92,-0.6931800655666246,0.0839928593193397,1.1794489364777692,0.0,True,15,2025-12-18 12:00:00,88513.44,-0.032437356387665,-0.0857903801645456,2.199055238532857,3.0713149856211195
446,BULLISH_SINGULARITY,long,2025-12-16 04:00:00,86021.51,-0.7841200607076636,0.1222833522546676,1.2227310997376328,-0.5249156993719389,0.03804947426552388,1.6854793507007442,0,2025-12-16 04:00:00,86021.51,-0.7841200607076636,0.1222833522546676,1.2227310997376328,0.0,True,14,2025-12-18 12:00:00,88513.44,-0.032437356387665,-0.0857903801645456,2.199055238532857,2.896868469293329
447,BULLISH_SINGULARITY,long,2025-12-16 08:00:00,87261.45,-0.784196956894115,0.1515970767827236,1.1630951105520353,-0.6092038104667457,0.06687484839472228,1.7356595963098107,0,2025-12-16 08:00:00,87261.45,-0.784196956894115,0.1515970767827236,1.1630951105520353,0.0,True,30,2025-12-21 08:00:00,88601.57,0.5416449829515911,0.0339630253171518,0.5437782009897983,1.5357526146998588
448,BULLISH_SINGULARITY,long,2025-12-16 12:00:00,87977.43,-0.6450785985231844,0.1597755321370453,2.8133448618098384,-0.6602282836571493,0.0958174282795836,1.7109436277702341,7,2025-12-17 16:00:00,86018.53,0.877733276592403,-0.1362253378775445,1.6185240460773425,2.2265937979774977,False,28,2025-12-22 08:00:00,89945.43,1.277975366360037,-0.1101671158000092,1.428029198200341,4.56517915384045
449,BULLISH_SINGULARITY,long,2025-12-16 16:00:00,87585.77,-0.4049415406411595,0.1469934808508897,1.4042645312711142,-0.6498798681801703,0.11838808261923343,1.5056825579532704,6,2025-12-17 16:00:00,86018.53,0.877733276592403,-0.1362253378775445,1.6185240460773425,1.789377429689783,False,28,2025-12-22 08:00:00,89945.43,1.277975366360037,-0.1101671158000092,1.428029198200341,4.56517915384045
450,HIGH_OSCILLATION,short,2025-12-17 04:00:00,87045.59,0.5897021691186186,-0.0028957332736701,0.8226858619204639,-0.17053376336977522,0.1040307815632232,1.1884537765169414,2,2025-12-17 12:00:00,87233.44,0.8483079204773677,-0.1071641305279508,2.740960963709343,0.21580645268761559,True,7,2025-12-18 16:00:00,84483.79,-0.2449659253915939,-0.050529935406895,2.510754517005608,3.1520595771529916
451,BEARISH_SINGULARITY,short,2025-12-17 08:00:00,86983.26,0.7686188245448297,-0.0600539048854115,0.6479183683454266,0.08826886687004887,0.06875561795186737,1.1025909861491734,1,2025-12-17 12:00:00,87233.44,0.8483079204773677,-0.1071641305279508,2.740960963709343,0.2876185601689424,True,7,2025-12-18 16:00:00,84483.79,-0.2449659253915939,-0.050529935406895,2.510754517005608,3.1520595771529916
452,BEARISH_SINGULARITY,short,2025-12-17 12:00:00,87233.44,0.8483079204773677,-0.1071641305279508,2.740960963709343,0.3371666200368076,0.024265674174368018,1.0905270031324241,0,2025-12-17 12:00:00,87233.44,0.8483079204773677,-0.1071641305279508,2.740960963709343,0.0,True,7,2025-12-18 16:00:00,84483.79,-0.2449659253915939,-0.050529935406895,2.510754517005608,3.1520595771529916
453,BEARISH_SINGULARITY,short,2025-12-17 16:00:00,86018.53,0.877733276592403,-0.1362253378775445,1.6185240460773425,0.5509457562424013,-0.02293746228037102,1.1262369222667956,5,2025-12-18 12:00:00,88513.44,-0.032437356387665,-0.0857903801645456,2.199055238532857,2.900433197358759,True,1,2025-12-18 16:00:00,84483.79,-0.2449659253915939,-0.050529935406895,2.510754517005608,4.552585460467934
454,BEARISH_SINGULARITY,short,2025-12-17 20:00:00,86243.22,0.7914212833911312,-0.151425886035994,0.5457479749113118,0.6941695715075094,-0.06662902827310577,1.1420474289374922,4,2025-12-18 12:00:00,88513.44,-0.032437356387665,-0.0857903801645456,2.199055238532857,2.63234605572473,True,1,2025-12-18 16:00:00,84483.79,-0.2449659253915939,-0.050529935406895,2.510754517005608,4.552585460467934
455,BEARISH_SINGULARITY,short,2025-12-18 00:00:00,86618.34,0.6160732662596499,-0.1516059318696819,0.5504415373062349,0.7486427900639999,-0.10156182074504212,1.1543797920450205,3,2025-12-18 12:00:00,88513.44,-0.032437356387665,-0.0857903801645456,2.199055238532857,2.1878738382656677,True,1,2025-12-18 16:00:00,84483.79,-0.2449659253915939,-0.050529935406895,2.510754517005608,4.552585460467934
456,BEARISH_SINGULARITY,short,2025-12-18 04:00:00,86833.84,0.4026997411669509,-0.1378230145404558,0.5058042305226685,0.7174757187387221,-0.12404970095617307,1.1015661868120548,2,2025-12-18 12:00:00,88513.44,-0.032437356387665,-0.0857903801645456,2.199055238532857,1.9342689439969554,True,1,2025-12-18 16:00:00,84483.79,-0.2449659253915939,-0.050529935406895,2.510754517005608,4.552585460467934
457,BULLISH_SINGULARITY,long,2025-12-19 00:00:00,86891.39,-0.5906170195127174,0.0309263880682914,0.9520708737470676,-0.1346948033473191,-0.060191038631093076,1.298677456925899,0,2025-12-19 00:00:00,86891.39,-0.5906170195127174,0.0309263880682914,0.9520708737470677,0.0,True,20,2025-12-22 08:00:00,89945.43,1.277975366360037,-0.1101671158000092,1.428029198200341,3.514778621909482
458,BULLISH_SINGULARITY,long,2025-12-19 04:00:00,87953.4,-0.6394407749202831,0.0447171208437685,1.050212322760691,-0.3083848893618581,-0.02976768273372236,1.3894121389655691,3,2025-12-19 16:00:00,87845.92,-0.3062765844572548,0.0073174692933606,1.2069714693613462,0.12220107465998578,True,16,2025-12-22 08:00:00,89945.43,1.277975366360037,-0.1101671158000092,1.428029198200341,2.3899914759843086
