信号类型,方向,最优平仓盈亏%,信号前张力,信号前加速度,信号前量能比率,信号时张力,信号时加速度,信号时量能比率,最优开仓周期,开仓时张力,开仓时加速度,开仓时量能比率,价格优势%,最优平仓周期,平仓时张力,平仓时加速度,平仓时量能比率
BULLISH_SINGULARITY,long,0.7918740157909561,-1.2476617288033778,0.1242048954912557,0.6130296608230678,-1.5840387941464724,0.176108911628896,0.4156289299700787,2,-1.5325226654603907,0.1755151490771587,0.3654383861176555,0.0435239385494109,6,-1.06495481173857,0.1015919580896871,0.4251420318760478
BULLISH_SINGULARITY,long,0.7918740157909561,-1.379783711710031,0.14459089526275673,0.5781954937177196,-1.597739210402458,0.1789097621829369,0.2755372387399946,1,-1.5325226654603907,0.1755151490771587,0.3654383861176555,0.18499767891903438,6,-1.06495481173857,0.1015919580896871,0.4251420318760478
BULLISH_SINGULARITY,long,0.7918740157909561,-1.467010025280682,0.15908446591443942,0.5858805945371764,-1.5325226654603907,0.1755151490771587,0.3654383861176555,0,-1.5325226654603907,0.1755151490771587,0.3654383861176555,0.0,6,-1.06495481173857,0.1015919580896871,0.4251420318760478
BULLISH_SINGULARITY,long,0.7900364506384538,-1.5069357839639343,0.16678158432798218,0.41212265313426905,-1.4374721010217852,0.1635529931887775,0.3673355808023187,2,-1.2344877743857685,0.1280727628061522,0.29704540479867936,0.25157061678309606,3,-1.06495481173857,0.1015919580896871,0.4251420318760478
BULLISH_SINGULARITY,long,0.7900364506384538,-1.4985032724510854,0.1671636270043563,0.3461493017714358,-1.326161991272079,0.1456565395102931,0.2616736451865418,1,-1.2344877743857685,0.1280727628061522,0.29704540479867936,0.24768823745165114,3,-1.06495481173857,0.1015919580896871,0.4251420318760478
BULLISH_SINGULARITY,long,0.7900364506384538,-1.4520704227814925,0.16130268639903572,0.33044319760254476,-1.2344877743857685,0.1280727628061522,0.2970454047986793,0,-1.2344877743857685,0.1280727628061522,0.29704540479867936,0.0,3,-1.06495481173857,0.1015919580896871,0.4251420318760478
BULLISH_SINGULARITY,long,0.5294304836769678,-1.3820643838794073,0.15100030857329905,0.30992371531589763,-1.1640025607339624,0.1142946446744759,0.2925120362501962,0,-1.1640025607339624,0.1142946446744759,0.2925120362501962,0.0,2,-1.06495481173857,0.1015919580896871,0.4251420318760478
BULLISH_SINGULARITY,long,-0.14039287379858856,-1.3035136022024887,0.13872198169425712,0.338160411963872,-1.1264345203409452,0.1052398009086852,0.4449574186278404,3,-0.8338103261085992,0.0906819553341922,0.6241900887979325,0.36939653397225203,1,-0.6374081061138063,0.0748424275816486,0.4497598268574821
BULLISH_SINGULARITY,long,1.851746363557186,-1.225585626582185,0.12640144986301186,0.34811101959027074,-1.06495481173857,0.1015919580896871,0.4251420318760478,10,-0.4119573940040944,0.02185522762103,1.4154082398493408,2.9566975220020986,23,0.3346493952672992,-0.0320077621315317,0.7555224549369257
BULLISH_SINGULARITY,long,1.851746363557186,-1.1447059273061153,0.11532201611519495,0.3596668225442233,-0.952193905365367,0.0970763907018761,0.4366703985260341,9,-0.4119573940040944,0.02185522762103,1.4154082398493408,2.905937917983978,23,0.3346493952672992,-0.0320077621315317,0.7555224549369257
