方向,盈亏%,开仓时张力,开仓时加速度,开仓时量能比率,开仓时DXY燃料,开仓时张力加速度比,平仓时张力,平仓时加速度,平仓时量能比率,平仓时DXY燃料,平仓时张力加速度比
short,5.1229676537100985,0.9310291472727764,-0.0010107695198541,,0.0,921.1092429925728,0.2392734668435961,-0.0001423721344584,1.0754797324944787,0.6626971946283834,1680.6200718547905
short,5.021511386016322,0.9188625140174964,-0.0009958322650696,0.6293413530056361,0.0,922.7081168667254,0.2392734668435961,-0.0001423721344584,1.0754797324944787,0.6626971946283834,1680.6200718547905
short,4.711581160639199,0.905716221153994,-0.0009796596082221,0.8012307549644325,0.0,924.5213475706123,0.2392734668435961,-0.0001423721344584,1.0754797324944787,0.6626971946283834,1680.6200718547905
short,4.653434992189108,0.8916076586799014,-0.0009622696105902,0.8266536740881302,0.0,926.5674077902568,0.2392734668435961,-0.0001423721344584,1.0754797324944787,0.6626971946283834,1680.6200718547905
short,4.94052632541865,0.8437000850851574,-0.000903002563186,0.7675091820771771,0.0,934.3274531894906,0.0892640663966385,4.755989227478441e-05,1.102095731315519,0.6626971946283834,1876.876967695847
short,5.365403746851194,0.7878704864899468,-0.0008335966131498,1.0952358980189842,0.0,945.1459783562773,0.0892640663966385,4.755989227478441e-05,1.102095731315519,0.6626971946283834,1876.876967695847
short,4.850617325399172,0.7247719279297558,-0.0007548144817784,0.8612669876433118,0.0,960.1987580075813,0.0892640663966385,4.755989227478441e-05,1.102095731315519,0.6626971946283834,1876.876967695847
short,5.020612825440218,0.70224855687849,-0.0007266203371056,0.6054275405247762,-0.0707214880617256,966.4587144309888,0.0892640663966385,4.755989227478441e-05,1.102095731315519,0.6626971946283834,1876.876967695847
short,4.989366593350438,0.6790276677784624,-0.0006975180487618,0.6026882508835435,-0.0707214880617256,973.4911791656706,0.0892640663966385,4.755989227478441e-05,1.102095731315519,0.6626971946283834,1876.876967695847
short,4.550578716667697,0.6551392338138905,-0.0006675448645442,1.0582654543962433,-0.0707214880617256,981.416034503119,0.0892640663966385,4.755989227478441e-05,1.102095731315519,0.6626971946283834,1876.876967695847
short,4.761427117887518,0.5797806388639944,-0.0005727921173196,0.556151390130891,-0.0707214880617256,1012.2007990911213,0.0892640663966385,4.755989227478441e-05,1.102095731315519,0.6626971946283834,1876.876967695847
short,5.264559139007991,0.5535377982693492,-0.000539733726604,0.9483271275884086,0.0955034364495672,1025.5757070291017,0.0892640663966385,4.755989227478441e-05,1.102095731315519,0.6626971946283834,1876.876967695847
short,5.4240908324433725,0.5267889480449768,-0.0005060096297272,0.7803234801127893,0.0955034364495672,1041.0650649652246,0.0892640663966385,4.755989227478441e-05,1.102095731315519,0.6626971946283834,1876.876967695847
short,5.188616323642778,0.4995684335557847,-0.0004716642648196,0.5334998693286288,0.0955034364495672,1059.1610830361662,0.0892640663966385,4.755989227478441e-05,1.102095731315519,0.6626971946283834,1876.876967695847
short,2.4785419967037403,0.3576306732630595,-0.0002922397929971,1.0520713573825171,0.6626971946283834,1223.7576190269488,0.0892640663966385,4.755989227478441e-05,1.102095731315519,0.6626971946283834,1876.876967695847
long,3.7136941898888285,-0.3048737439358518,0.0005421582645353,0.8410533024649831,-0.1398384676452419,562.3334806067527,-0.7032376605200769,0.0009617002330655,2.06698436307623,0.1260400013773703,731.2441406803531
long,3.975003882610907,-0.3297984245947503,0.0005729007047327,1.324439832509119,-0.1398384676452419,575.6641977751193,-0.7032376605200769,0.0009617002330655,2.06698436307623,0.1260400013773703,731.2441406803531
long,3.198662127318926,-0.3541203201326947,0.0006027851209541,0.987709604882306,-0.1398384676452419,587.473558690676,-0.7032376605200769,0.0009617002330655,2.06698436307623,0.1260400013773703,731.2441406803531
long,5.207466307754972,-0.3778104462014914,0.0006317694691475,2.609413511452225,-0.1398384676452419,598.0194749064132,-0.6971496749143261,0.0009367877901755,1.3638201976536084,0.1260400013773703,744.191675239192
long,4.575461385368955,-0.4008407593393343,0.0006598129309539,0.8085663585515835,-0.1398384676452419,607.5066742930208,-0.6971496749143261,0.0009367877901755,1.3638201976536084,0.1260400013773703,744.191675239192
long,4.524902577986892,-0.4231841965012917,0.0006868759758854,0.5222108181318144,-0.1398384676452419,616.0998657083571,-0.6884462050349226,0.0009133186351164,1.3922173027557188,0.1260400013773703,753.7853478125759
