时间,收盘价,信号类型,方向,置信度,张力,加速度,量能比率,EMA偏离%
2025-11-27 20:00:00,91333.95,BEARISH_SINGULARITY,short,0.7,0.4856384247613806,-0.0649081115487814,0.3254880852804345,2.2512124974372876
2025-11-28 00:00:00,91208.85,BEARISH_SINGULARITY,short,0.7,0.4568015219302461,-0.0688928462386054,0.6131912659024863,1.9062635749739758
2025-11-28 04:00:00,90910.87,BEARISH_SINGULARITY,short,0.7,0.3861125427018761,-0.0614257167895505,0.6056603605363127,1.4213638195465412
2025-12-01 12:00:00,84677.87,BULLISH_SINGULARITY,long,0.6,-0.3648151364187713,0.0309769027548779,2.7793936216841635,-4.976861868624803
2025-12-01 16:00:00,85024.5,BULLISH_SINGULARITY,long,0.6,-0.5415350999677464,0.0508616229526651,1.535663352932701,-4.169158876507527
2025-12-01 20:00:00,86286.01,BULLISH_SINGULARITY,long,0.6,-0.7168897873257397,0.0702504348110192,1.2301368258692824,-2.492186738366607
2025-12-02 00:00:00,86976.99,BULLISH_SINGULARITY,long,0.6,-0.8506643540790892,0.0855791685786377,1.1613310281170655,-1.5508850519633202
2025-12-02 04:00:00,87012.65,BULLISH_SINGULARITY,long,0.6,-0.955169635744526,0.0949578368861826,0.6123891049634337,-1.3686312615514897
2025-12-02 08:00:00,87368.92,BULLISH_SINGULARITY,long,0.6,-1.0636868182888148,0.1039438440810287,1.1388340844167388,-0.873707007249388
2025-12-02 12:00:00,90850.01,BULLISH_SINGULARITY,long,0.6,-1.0971845145939187,0.104661018113227,2.7722610802663734,2.7747733873300104
2025-12-02 16:00:00,91903.39,BULLISH_SINGULARITY,long,0.6,-1.0449994882715297,0.0942734198226267,1.7021724477367044,3.5751582588481177
2025-12-02 20:00:00,91277.88,BULLISH_SINGULARITY,long,0.6,-0.9646028469835728,0.0792031863358898,1.1691107216783427,2.5897758328966356
2025-12-03 00:00:00,92628.91,BULLISH_SINGULARITY,long,0.6,-0.8416898452874695,0.0603005350447796,1.1376456508239123,3.7024894414354916
2025-12-03 04:00:00,92999.99,BULLISH_SINGULARITY,long,0.6,-0.6769911022510882,0.0396931977936294,1.1173610809568417,3.7111925999269366
2025-12-04 16:00:00,91975.44,BULLISH_SINGULARITY,long,0.6,-0.4261384546083199,0.0225842940807305,1.1018488981228227,0.40616168673860914
2025-12-04 20:00:00,92078.06,BULLISH_SINGULARITY,long,0.6,-0.4692798638821703,0.034841628230658,0.4430829164879887,0.4686056059987062
2025-12-05 00:00:00,92142.75,BULLISH_SINGULARITY,long,0.6,-0.5183133776637644,0.0441196424791976,0.4429617224785224,0.48758858086814727
2025-12-05 04:00:00,92258.65,BULLISH_SINGULARITY,long,0.6,-0.5743592402305543,0.0497430948246998,0.360941485003295,0.555185573726405
2025-12-05 08:00:00,91351.43,BULLISH_SINGULARITY,long,0.6,-0.6428161602385143,0.0561523723766079,0.6394909372893519,-0.3924830588454186
2025-12-05 12:00:00,90459.35,BULLISH_SINGULARITY,long,0.6,-0.723700723181589,0.0662038238851967,1.3417095818970066,-1.2367769999049647
2025-12-05 16:00:00,89629.26,BULLISH_SINGULARITY,long,0.6,-0.8044685263564901,0.0825244090377184,1.5717079339715136,-1.942930527311375
2025-12-05 20:00:00,89330.04,BULLISH_SINGULARITY,long,0.6,-0.8968496784325853,0.1038122908340978,0.6249654478211264,-2.058519245389641
2025-12-06 00:00:00,89688.35,BULLISH_SINGULARITY,long,0.6,-0.9589750119454796,0.1264359753400598,0.4297188305972293,-1.509427489145872
2025-12-06 04:00:00,89597.13,BULLISH_SINGULARITY,long,0.6,-0.9457403125707564,0.1473376737708787,0.22763601698842484,-1.4585406636840468
2025-12-06 08:00:00,89631.28,BULLISH_SINGULARITY,long,0.6,-0.8331552764413022,0.1605742736647993,0.46520753449408575,-1.287392201289671
2025-12-06 12:00:00,89758.77,BULLISH_SINGULARITY,long,0.6,-0.689568912063241,0.159311770295343,0.6598834548719814,-1.0388832435211786
2025-12-06 16:00:00,89405.64,BULLISH_SINGULARITY,long,0.6,-0.5282981922858132,0.1462118463867322,0.48715378888810856,-1.2939565841761655
2025-12-06 20:00:00,89236.79,BULLISH_SINGULARITY,long,0.6,-0.3827231667383645,0.1250356232809376,0.3853863236490551,-1.3412744727716082
2025-12-08 08:00:00,91968.29,BEARISH_SINGULARITY,short,0.7,0.3638947803454083,-0.0558747836842055,0.8590247761442423,1.5148046379852806
2025-12-08 12:00:00,89961.37,BEARISH_SINGULARITY,short,0.7,0.3931076721617438,-0.0662334318214012,2.1186086525653898,-0.634152793606132
2025-12-08 16:00:00,90124.48,BEARISH_SINGULARITY,short,0.7,0.368664121914048,-0.065145506309812,1.0471298542165508,-0.41093182420913305
2025-12-10 04:00:00,92782.91,BEARISH_SINGULARITY,short,0.7,0.4073679168724126,-0.0364983415847685,0.5106519069195881,1.4924126633640178
2025-12-10 08:00:00,92120.45,BEARISH_SINGULARITY,short,0.7,0.5013478323322053,-0.0515421868905991,0.9482092940113759,0.6941394528479042
2025-12-10 12:00:00,92063.69,BEARISH_SINGULARITY,short,0.7,0.5490141983457953,-0.0573450974787875,0.8835997642482012,0.5715530094500576
2025-12-10 16:00:00,92957.67,BEARISH_SINGULARITY,short,0.7,0.5946422489797434,-0.0623136036688742,1.755776857757878,1.3986433178102762
2025-12-10 20:00:00,92015.37,BEARISH_SINGULARITY,short,0.7,0.6710586686462764,-0.0661951090752852,1.6124752717386008,0.3353476187925906
2025-12-11 00:00:00,89880.01,BEARISH_SINGULARITY,short,0.7,0.6978636560491517,-0.0591810122017142,1.2926961408130386,-1.8067017345665533
2025-12-11 04:00:00,90272.75,BEARISH_SINGULARITY,short,0.7,0.6911507431201407,-0.0484389454010117,0.7201279014299942,-1.2480700473747786
2025-12-11 08:00:00,90242.35,BEARISH_SINGULARITY,short,0.7,0.6262254447278323,-0.0388992909178337,0.489812442864149,-1.1607109021302222
2025-12-11 12:00:00,89872.51,BEARISH_SINGULARITY,short,0.7,0.4970510543938558,-0.0245565201652045,1.1177911090522845,-1.4187771702488543
2025-12-13 16:00:00,90178.16,BULLISH_SINGULARITY,long,0.6,-0.6048948828691707,0.0469448072938242,0.24610041273184594,-0.7034962155532479
2025-12-13 20:00:00,90240.01,BULLISH_SINGULARITY,long,0.6,-0.732425029003736,0.0786290913985818,0.25917095898014403,-0.5752268080220063
2025-12-14 00:00:00,90258.98,BULLISH_SINGULARITY,long,0.6,-0.7934944560301969,0.101587988011282,0.29420554447841507,-0.5017979733958698
2025-12-14 04:00:00,90245.6,BULLISH_SINGULARITY,long,0.6,-0.7416206130991853,0.1089828011840086,0.3139308689376386,-0.4675826146834922
2025-12-14 08:00:00,89360.0,BULLISH_SINGULARITY,long,0.6,-0.6373052628355023,0.1006380725575286,0.9718235196444882,-1.3085622588322836
2025-12-14 12:00:00,89022.91,BULLISH_SINGULARITY,long,0.6,-0.4924073691728695,0.0800108613786347,0.8358568763583734,-1.5232100961116362
2025-12-15 20:00:00,86432.08,BULLISH_SINGULARITY,long,0.6,-0.587761986748275,0.0456861943707347,1.2512108078712327,-2.9231679026262642
2025-12-16 00:00:00,85875.92,BULLISH_SINGULARITY,long,0.6,-0.6931800655666246,0.0839928593193397,1.1794489364777692,-3.2208179713388096
2025-12-16 04:00:00,86021.51,BULLISH_SINGULARITY,long,0.6,-0.7841200607076636,0.1222833522546676,1.2227310997376328,-2.7736994525299585
2025-12-16 08:00:00,87261.45,BULLISH_SINGULARITY,long,0.6,-0.784196956894115,0.1515970767827236,1.1630951105520353,-1.2431844475264697
2025-12-16 12:00:00,87977.43,BULLISH_SINGULARITY,long,0.6,-0.6450785985231844,0.1597755321370453,2.8133448618098384,-0.3918193923169197
2025-12-16 16:00:00,87585.77,BULLISH_SINGULARITY,long,0.6,-0.4049415406411595,0.1469934808508897,1.4042645312711142,-0.7563107471697498
2025-12-17 04:00:00,87045.59,HIGH_OSCILLATION,short,0.6,0.5897021691186186,-0.0028957332736701,0.8226858619204639,-1.1050657491498856
2025-12-17 08:00:00,86983.26,BEARISH_SINGULARITY,short,0.7,0.7686188245448297,-0.0600539048854115,0.6479183683454266,-1.0650847533414431
2025-12-17 12:00:00,87233.44,BEARISH_SINGULARITY,short,0.7,0.8483079204773677,-0.1071641305279508,2.740960963709343,-0.7067187721685918
2025-12-17 16:00:00,86018.53,BEARISH_SINGULARITY,short,0.7,0.877733276592403,-0.1362253378775445,1.6185240460773425,-1.89434912188375
2025-12-17 20:00:00,86243.22,BEARISH_SINGULARITY,short,0.7,0.7914212833911312,-0.151425886035994,0.5457479749113118,-1.4843937786224217
2025-12-18 00:00:00,86618.34,BEARISH_SINGULARITY,short,0.7,0.6160732662596499,-0.1516059318696819,0.5504415373062349,-0.9562946072659873
2025-12-18 04:00:00,86833.84,BEARISH_SINGULARITY,short,0.7,0.4026997411669509,-0.1378230145404558,0.5058042305226685,-0.6427080055759964
2025-12-19 00:00:00,86891.39,BULLISH_SINGULARITY,long,0.6,-0.5906170195127174,0.0309263880682914,0.9520708737470677,-0.16087621104529584
2025-12-19 04:00:00,87953.4,BULLISH_SINGULARITY,long,0.6,-0.6394407749202831,0.0447171208437685,1.050212322760691,0.9575246399656484
2025-12-19 08:00:00,88198.7,BULLISH_SINGULARITY,long,0.6,-0.5951645034984615,0.0408420174649066,0.5118658957012466,1.1197625820069306
2025-12-19 12:00:00,87951.87,BULLISH_SINGULARITY,long,0.6,-0.4489382586897647,0.0279973228570302,1.622926694969814,0.7564766799366665
2025-12-21 16:00:00,88484.01,HIGH_OSCILLATION,short,0.6,0.8792428586945161,0.0002137802296478,0.4684814456628637,0.5565840976617995
2025-12-21 20:00:00,88658.86,BEARISH_SINGULARITY,short,0.7,1.0260393742294935,-0.0304959010709577,0.3441315064046015,0.6828666587578752
2025-12-22 00:00:00,88774.12,BEARISH_SINGULARITY,short,0.7,1.138156834489289,-0.0608310619181946,1.3189311505630081,0.7356873818305063
2025-12-22 04:00:00,89170.1,BEARISH_SINGULARITY,short,0.7,1.2035499414532884,-0.0863605079163631,0.6897853010594227,1.0709544184664255
2025-12-22 08:00:00,89945.43,BEARISH_SINGULARITY,short,0.7,1.277975366360037,-0.1101671158000092,1.428029198200341,1.7608005513824476
2025-12-22 12:00:00,89726.92,BEARISH_SINGULARITY,short,0.7,1.3980942257420417,-0.1364436501486532,2.1332942322668305,1.3674644070566426
2025-12-22 16:00:00,88052.43,BEARISH_SINGULARITY,short,0.7,1.4027349731194343,-0.1490549417903666,1.3816121412370719,-0.47456945366025255
2025-12-22 20:00:00,88620.79,BEARISH_SINGULARITY,short,0.7,1.3549890777868685,-0.1502642518585448,0.9512552312578003,0.15183672320986927
2025-12-23 00:00:00,88170.0,BEARISH_SINGULARITY,short,0.7,1.2572365833417385,-0.1400116559006363,0.9940232216758469,-0.3236608649948191
2025-12-23 04:00:00,87574.79,BEARISH_SINGULARITY,short,0.7,1.080178620322963,-0.1156680373000302,1.3120876895738125,-0.9024941406161434
2025-12-23 08:00:00,87856.65,BEARISH_SINGULARITY,short,0.7,0.9044514997655164,-0.0843769166797691,0.9277276007928297,-0.5282657779939187
2025-12-23 12:00:00,87443.45,BEARISH_SINGULARITY,short,0.7,0.7281320277069203,-0.0491472058235664,2.035266008587535,-0.9020826468146526
2025-12-23 16:00:00,87752.87,BEARISH_SINGULARITY,short,0.7,0.5894716502382605,-0.0212516680905539,1.7949081649775216,-0.4991687908505276
2025-12-23 20:00:00,87486.0,HIGH_OSCILLATION,short,0.6,0.521598994486976,-0.0027649943208951,1.2713990188632958,-0.7259618049895202
2025-12-24 00:00:00,87336.23,HIGH_OSCILLATION,short,0.6,0.545120610788016,0.0009386906736819,0.8427486536725008,-0.81127937424171
2025-12-24 04:00:00,86911.53,HIGH_OSCILLATION,short,0.6,0.593275339497311,-0.0078903739916148,0.6981193581133937,-1.1718580900869557
2025-12-24 08:00:00,87203.94,BEARISH_SINGULARITY,short,0.7,0.6057722959349148,-0.0308591516329772,0.6115861685342917,-0.7600241405532258
2025-12-24 12:00:00,87049.99,BEARISH_SINGULARITY,short,0.7,0.5919194872762799,-0.0500721328171796,1.1302906509664423,-0.8469080947304277
2025-12-24 16:00:00,87566.06,BEARISH_SINGULARITY,short,0.7,0.5250242034206984,-0.0690923606131794,0.8516462700161755,-0.23446869960056452
2025-12-24 20:00:00,87669.45,BEARISH_SINGULARITY,short,0.7,0.3799860617703186,-0.0808409053456462,0.48132473239026535,-0.1055745360613
2025-12-25 20:00:00,87225.27,BULLISH_SINGULARITY,long,0.6,-0.5300536182024519,0.0430850756431929,0.9889539120557272,-0.6367285762140288
2025-12-26 00:00:00,88844.87,BULLISH_SINGULARITY,long,0.6,-0.4373894991017243,0.0557053045722434,2.705537060992342,1.0919220805060417
2025-12-27 12:00:00,87551.25,LOW_OSCILLATION,long,0.6,-0.6388146087695296,0.0081604712231261,0.4325316358304378,-0.19988277155379625
2025-12-27 16:00:00,87569.39,BULLISH_SINGULARITY,long,0.6,-0.8236851223555107,0.040041140741222,0.33299920103196906,-0.16216543720176554
2025-12-27 20:00:00,87877.01,BULLISH_SINGULARITY,long,0.6,-0.9418746099195164,0.0662259458485815,0.542777305211837,0.17056406507796196
2025-12-28 00:00:00,87740.01,BULLISH_SINGULARITY,long,0.6,-0.9787440488501126,0.085800444257466,0.4261830718136315,0.013026990832545583
2025-12-28 04:00:00,87730.85,BULLISH_SINGULARITY,long,0.6,-0.913040790509427,0.0965527891336343,0.2850793124073612,0.0023394333305010897
2025-12-28 08:00:00,87883.25,BULLISH_SINGULARITY,long,0.6,-0.8009436893212487,0.0940841761161692,0.4882678430689913,0.15926261968160335
2025-12-28 12:00:00,87836.27,BULLISH_SINGULARITY,long,0.6,-0.7186512457680017,0.0802407578275878,0.5233464013527908,0.09564197660177391
2025-12-28 16:00:00,87520.75,BULLISH_SINGULARITY,long,0.6,-0.6688837698761436,0.0658295014271757,0.5677749940297195,-0.23884061299573922
2025-12-28 20:00:00,87952.71,BULLISH_SINGULARITY,long,0.6,-0.7494570627054944,0.0602798484129285,0.579259191396088,0.2293308250004243
2025-12-29 00:00:00,90123.55,BULLISH_SINGULARITY,long,0.6,-0.8063307775057191,0.0486893083725517,2.8228766952368542,2.4394550542109634
2025-12-29 04:00:00,89617.71,BULLISH_SINGULARITY,long,0.6,-0.6625798663673401,0.0311576225889108,1.9722635436969687,1.683928540796845
2025-12-29 12:00:00,87691.62,LOW_OSCILLATION,long,0.6,-0.5112771210180045,0.0075590976350478,2.309085583226397,-0.3988101556837581
2025-12-29 16:00:00,87366.23,LOW_OSCILLATION,long,0.6,-0.5194242125678443,0.0081376119114235,0.8009715543845642,-0.6957209447306768
2025-12-29 20:00:00,87237.13,BULLISH_SINGULARITY,long,0.6,-0.6059058556652802,0.0228261306335689,0.8715723582003595,-0.7628392692513712
2025-12-30 00:00:00,87379.0,BULLISH_SINGULARITY,long,0.6,-0.7500845327288259,0.0501846976377587,0.9674853044114113,-0.5444846763796181
2025-12-30 04:00:00,87502.85,BULLISH_SINGULARITY,long,0.6,-0.9203790012917707,0.088672428462601,0.6861674417373956,-0.36522767500147774
2025-12-30 08:00:00,87903.89,BULLISH_SINGULARITY,long,0.6,-1.1190593367103974,0.1339376103519833,1.4868131033765934,0.08270154319026952
2025-12-30 12:00:00,89016.35,BULLISH_SINGULARITY,long,0.6,-1.1842131943341632,0.1657371075531262,2.12335444098656,1.2192189314301092
2025-12-30 16:00:00,88226.16,BULLISH_SINGULARITY,long,0.6,-1.1863022388496895,0.1881865945850938,1.516724643183804,0.2900732311321845
2025-12-30 20:00:00,88485.49,BULLISH_SINGULARITY,long,0.6,-1.0983446783264832,0.1952385835405146,0.6399498690493653,0.5288677435955692
